City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hours),Snow inches (last 3 hours)
163,Oranjemund,NA,2021-10-06 20:21:33,-28.55,16.4333,61.32,63,0,3.53,clear sky,0,0
164,Okha,RU,2021-10-06 20:21:33,53.5739,142.9478,39.61,79,100,11.54,light rain,0,0
165,Bealanana,MG,2021-10-06 20:21:33,-14.55,48.7333,60.35,90,98,0.89,overcast clouds,0,0
166,Jau,BR,2021-10-06 20:21:34,-22.2964,-48.5578,94.23,37,66,3.85,broken clouds,0,0
167,Ixtapa,MX,2021-10-06 20:21:34,20.7,-105.2,89.22,66,20,6.91,few clouds,0,0
168,Makinsk,KZ,2021-10-06 20:21:35,52.6292,70.4169,25.77,91,52,7.18,broken clouds,0,0
169,Mana,GF,2021-10-06 20:21:35,5.6592,-53.7767,81.68,82,100,7.83,heavy intensity rain,0,0
170,Chuy,UY,2021-10-06 20:21:36,-33.6971,-53.4616,55.33,64,63,17.69,broken clouds,0,0
171,Tabas,IR,2021-10-06 20:21:36,33.5959,56.9244,79.14,15,2,3.71,clear sky,0,0
172,Vozhega,RU,2021-10-06 20:19:15,60.4725,40.2213,40.17,93,10,6.2,clear sky,0,0
173,Dehloran,IR,2021-10-06 20:21:37,32.6941,47.2679,83.91,18,0,2.95,clear sky,0,0
174,Petropavlovsk-Kamchatskiy,RU,2021-10-06 20:21:37,53.0452,158.6483,23.59,74,20,8.95,few clouds,0,0
175,Fergus Falls,US,2021-10-06 20:21:37,46.283,-96.0776,76.26,57,1,7.0,clear sky,0,0
176,Meulaboh,ID,2021-10-06 20:21:38,4.1363,96.1285,76.95,87,100,7.2,overcast clouds,0,0
177,Kapaa,US,2021-10-06 20:21:38,22.0752,-159.319,82.72,69,75,4.0,light rain,0,0
178,Ust-Maya,RU,2021-10-06 20:21:38,60.4167,134.5333,26.01,94,63,4.5,broken clouds,0,0
179,Amahai,ID,2021-10-06 20:21:39,-3.3333,128.9167,76.95,87,100,1.79,moderate rain,0,0
180,Burnie,AU,2021-10-06 20:21:39,-41.0667,145.9167,45.95,74,82,16.53,broken clouds,0,0
181,Chicama,PE,2021-10-06 20:21:40,-7.8447,-79.1469,63.14,63,16,11.03,few clouds,0,0
182,Bundaberg,AU,2021-10-06 20:21:40,-24.85,152.35,64.22,83,1,1.01,clear sky,0,0
183,Portland,US,2021-10-06 20:18:34,45.5234,-122.6762,62.74,70,75,1.01,broken clouds,0,0
184,Narsaq,GL,2021-10-06 20:21:41,60.9167,-46.05,44.82,55,100,8.25,overcast clouds,0,0
185,Lavrentiya,RU,2021-10-06 20:21:37,65.5833,-171.0,36.3,99,100,8.9,light rain,0,0
186,Gisborne,NZ,2021-10-06 20:21:42,-38.6533,178.0042,57.94,85,100,2.86,moderate rain,0,0
187,Touros,BR,2021-10-06 20:20:08,-5.1989,-35.4608,83.3,75,75,17.54,broken clouds,0,0
188,Yerbogachen,RU,2021-10-06 20:20:05,61.2767,108.0108,27.1,92,100,13.02,light snow,0,0
189,Sobolevo,RU,2021-10-06 20:21:43,54.4299,31.8996,40.51,76,2,8.97,clear sky,0,0
190,Juneau,US,2021-10-06 20:21:43,58.3019,-134.4197,45.84,82,1,0.0,clear sky,0,0
191,Nouadhibou,MR,2021-10-06 20:21:43,20.931,-17.0347,71.58,78,0,17.27,clear sky,0,0
192,Moose Factory,CA,2021-10-06 20:21:44,51.2585,-80.6094,71.6,49,1,9.22,clear sky,0,0
193,Junction City,US,2021-10-06 20:21:43,39.0286,-96.8314,75.61,58,90,3.0,overcast clouds,0,0
194,Asfi,MA,2021-10-06 20:21:44,32.2994,-9.2372,70.63,75,100,7.61,overcast clouds,0,0
195,Okhotsk,RU,2021-10-06 20:21:44,59.3833,143.3,24.73,71,44,15.23,scattered clouds,0,0
196,Saint Anthony,US,2021-10-06 20:21:45,45.0205,-93.218,75.13,68,75,3.0,broken clouds,0,0
197,Iqaluit,CA,2021-10-06 20:21:45,63.7506,-68.5145,42.53,70,75,10.0,broken clouds,0,0
198,Alizai,PK,2021-10-06 20:21:47,33.5383,70.3462,74.59,48,0,3.29,clear sky,0,0
199,Kushiro,JP,2021-10-06 20:17:17,42.975,144.3747,44.65,75,93,4.21,overcast clouds,0,0
200,Dzerzhinsk,RU,2021-10-06 20:21:47,56.2389,43.4631,30.02,93,60,0.0,fog,0,0
201,Luangwa,ZM,2021-10-06 20:21:48,-15.6167,30.4167,79.72,39,0,4.36,clear sky,0,0
202,San Cristobal,VE,2021-10-06 20:21:49,7.7669,-72.225,82.58,58,62,6.42,broken clouds,0,0
203,Guerrero Negro,MX,2021-10-06 20:21:51,27.9769,-114.0611,76.55,55,54,16.73,broken clouds,0,0
204,Camacha,PT,2021-10-06 20:21:53,33.0833,-16.3333,69.22,73,20,9.22,few clouds,0,0
205,Morondava,MG,2021-10-06 20:21:54,-20.2833,44.2833,76.44,57,0,18.57,clear sky,0,0
206,La Ronge,CA,2021-10-06 20:21:56,55.1001,-105.2842,55.65,50,40,5.75,smoke,0,0
207,Gravdal,NO,2021-10-06 20:21:59,68.1214,13.5031,46.08,93,40,18.41,scattered clouds,0,0
208,Lorengau,PG,2021-10-06 20:21:59,-2.0226,147.2712,78.3,84,88,4.23,overcast clouds,0,0
209,Te Anau,NZ,2021-10-06 20:22:00,-45.4167,167.7167,45.46,90,89,1.86,overcast clouds,0,0
210,Acarau,BR,2021-10-06 20:22:00,-2.8856,-40.12,82.06,74,83,19.53,broken clouds,0,0
211,Sambava,MG,2021-10-06 20:22:02,-14.2667,50.1667,70.2,79,81,4.52,broken clouds,0,0
212,Yarada,IN,2021-10-06 20:22:03,17.65,83.2667,82.72,89,20,2.3,few clouds,0,0
213,Gao,ML,2021-10-06 20:22:11,16.6362,1.637,93.81,12,0,10.6,clear sky,0,0
214,Turan,VN,2021-10-06 20:22:12,16.0678,108.2208,77.05,94,75,2.3,moderate rain,0,0
215,Inuvik,CA,2021-10-06 20:22:12,68.3499,-133.7218,38.26,60,20,8.05,few clouds,0,0
216,Harper,LR,2021-10-06 20:22:12,4.375,-7.7169,78.26,86,38,7.9,scattered clouds,0,0
217,Halifax,CA,2021-10-06 20:19:55,44.6453,-63.5724,71.01,50,40,6.91,scattered clouds,0,0
218,Pemberton,CA,2021-10-06 20:18:55,50.3164,-122.8027,49.69,98,100,1.57,overcast clouds,0,0
219,Kralendijk,BQ,2021-10-06 20:22:14,12.15,-68.2667,87.78,62,20,20.71,few clouds,0,0
220,Fortuna,US,2021-10-06 20:22:14,40.5982,-124.1573,66.42,55,1,5.01,clear sky,0,0
221,Kurilsk,RU,2021-10-06 20:22:15,45.2333,147.8833,47.34,63,100,9.26,overcast clouds,0,0
222,Ampanihy,MG,2021-10-06 20:22:15,-24.7,44.75,62.22,68,0,8.88,clear sky,0,0
223,Qui Nhon,VN,2021-10-06 20:21:35,13.7667,109.2333,75.45,92,100,5.21,heavy intensity rain,0,0
224,Koslan,RU,2021-10-06 20:22:16,63.4564,48.8989,41.59,86,69,8.95,broken clouds,0,0
225,Kimbe,PG,2021-10-06 20:22:16,-5.5502,150.1429,74.98,94,100,3.0,overcast clouds,0,0
226,Vertientes,CU,2021-10-06 20:22:16,21.2594,-78.1464,86.61,56,82,3.76,broken clouds,0,0
