City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
306,Coka,RS,61.63,overcast clouds,45.9425,20.1433,"Hotel ""Ždrebac"""
307,Avarua,CK,77.05,few clouds,-21.2078,-159.775,Paradise Inn
308,Koratagere,IN,73.27,overcast clouds,13.5228,77.2331,Darshan studio
309,Kavieng,PG,79.57,light rain,-2.5744,150.7967,Nusa Island Retreat
310,Daru,PG,77.0,overcast clouds,-9.0763,143.2092,Daru Lodge
311,Zhaotong,CN,57.52,overcast clouds,27.3167,103.7167,Jingguan Home
312,Waitati,NZ,55.81,overcast clouds,-45.75,170.5667,Arden Country House BnB Dunedin
313,Plainview,US,71.74,overcast clouds,40.7765,-73.4673,Four Points by Sheraton Melville Long Island
315,Lata,PT,65.8,clear sky,40.1629,-8.3327,Casa Maquia
316,Ponta Do Sol,PT,72.23,overcast clouds,32.6667,-17.1,Hotel do Campo
317,Luwingu,ZM,75.99,clear sky,-10.2621,29.9271,"MR.C SIMON CHABALA (Maje, Home Place)"
320,Moorhead,US,77.99,clear sky,46.8739,-96.7676,"Courtyard by Marriott Fargo Moorhead, MN"
321,Isangel,VU,75.31,scattered clouds,-19.55,169.2667,Tanna Lodge
323,Jackson,US,58.44,clear sky,42.4165,-122.8345,Agate Village Apartments
325,Guangyuan,CN,58.35,overcast clouds,32.442,105.823,Guangyuan Poetry Hotel
326,Jalu,LY,72.5,clear sky,29.0331,21.5482,صاحبة الفخامة
327,Bima,ID,72.1,scattered clouds,-8.4667,118.7167,Lambitu Hotel
328,Ahipara,NZ,59.56,light rain,-35.1667,173.1667,Ahipara Holiday Park
329,Waipawa,NZ,56.03,light rain,-41.4122,175.5153,Tora Coastal Walk
330,Fujinomiya,JP,69.17,overcast clouds,35.2167,138.6167,Fujinomiya Green Hotel
331,Tura,IN,72.91,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
332,Kisangani,CD,70.29,scattered clouds,0.5167,25.2,Grand Ramela Hotel
333,Dubrovnik,HR,65.84,scattered clouds,42.6481,18.0922,Hotel Dubrovnik Palace
334,Hambantota,LK,79.48,scattered clouds,6.1241,81.1185,Bungalow 63
335,Santo Estevao,BR,80.73,broken clouds,-12.4303,-39.2514,Campo Hotel
336,Ottumwa,US,77.68,overcast clouds,41.02,-92.4113,Hampton Inn Ottumwa
337,Orangeburg,US,82.36,mist,33.4918,-80.8557,Palmetto Inn & Suites
338,Tateyama,JP,68.09,overcast clouds,34.9833,139.8667,Tateyama Seaside Hotel
341,Wanxian,CN,69.46,light rain,30.8039,108.3897,7Days Inn Chongqing Shiqiaopu
342,Caldwell,US,70.18,clear sky,43.6629,-116.6874,La Quinta Inn by Wyndham Caldwell
344,Maningrida,AU,75.67,broken clouds,-12.0667,134.2667,Dhukurrdji Lodge
346,Richards Bay,ZA,65.61,light rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
347,Jumla,NP,54.27,clear sky,29.2747,82.1838,"अन्नी घर, जुम्ला - Anni Ghar"
348,Fuyang,CN,55.72,broken clouds,32.9,115.8167,Fuyang Wanda Realm Hotel
349,Redlands,US,85.1,overcast clouds,34.0556,-117.1825,Dynasty Suites Redlands
352,Bismil,TR,60.53,clear sky,37.8486,40.6658,ARİF AKGÜNDÜZ
